code,type,message,desc,key
3003,0,"","座位号无效","CHAT_SEAT_NUMBER_INVALID"
3004,0,"","玩家不在任何房间中","CHAT_PLAYER_NOT_IN_ANY_ROOM"
3005,0,"","玩家不在指定房间中","CHAT_PLAYER_NOT_IN_SPECIFIED_ROOM"
3006,0,"","发送者不在聊天房间中","CHAT_SENDER_NOT_IN_ROOM"
3007,0,"","目标用户不在任何房间中","CHAT_TARGET_USER_NOT_IN_ANY_ROOM"
3008,0,"","目标用户不在同一房间中","CHAT_TARGET_USER_NOT_IN_SAME_ROOM"
3009,0,"","无法获取发送者信息","CHAT_CANNOT_GET_SENDER_INFO"
3010,0,"","房间类型不正确","CHAT_ROOM_TYPE_INCORRECT"
3011,0,"","无效的聊天消息类型","CHAT_INVALID_MESSAGE_TYPE"
3012,0,"","房间已存在但不是聊天房间","CHAT_ROOM_EXISTS_BUT_NOT_CHAT"
3013,0,"","创建或获取聊天房间失败","CHAT_CREATE_ROOM_FAILED"
3014,0,"","加入房间失败","CHAT_JOIN_ROOM_FAILED"
3015,0,"","离开房间失败","CHAT_LEAVE_ROOM_FAILED"
3016,0,"","发送消息失败","CHAT_SEND_MESSAGE_FAILED"
3017,0,"","发送私信失败","CHAT_SEND_PRIVATE_MESSAGE_FAILED"
3018,0,"","存储聊天房间失败","CHAT_STORE_ROOM_FAILED"
3501,0,"","获取用户信息失败","SOLITAIRE_GET_USER_INFO_FAILED"
3502,0,"","玩家不在任何房间中","SOLITAIRE_PLAYER_NOT_IN_ANY_ROOM"
3503,0,"","房间无效","SOLITAIRE_ROOM_NOT_FOUND"
3504,0,"","房间人数已满","SOLITAIRE_ROOM_MAX_PLAYER_REACHED"
3505,0,"","玩家不存在","SOLITAIRE_PLAYER_NOT_FOUND"
3506,0,"","连接牌失败","SOLITAIRE_CONNECTOR_CARD_FAILED"
3507,0,"","房间未处于等待状态","SOLITAIRE_ROOM_NOT_WAITING"
3508,0,"","玩家已经准备","SOLITAIRE_PLAYER_ALREADY_READY"
3509,0,"","旁观玩家无法操控游玩数据","SOLITAIRE_WATCHERS_PLAYING_ERR"
4001,0,"","加入房间失败","MINES_JOIN_ROOM_FAILED"
4002,0,"","离开房间失败","MINES_LEAVE_ROOM_FAILED"
4003,0,"","坐下失败","MINES_SIT_DOWN_FAILED"
4004,0,"","站起失败","MINES_STAND_UP_FAILED"
4005,0,"","准备失败","MINES_READY_GAME_FAILED"
4006,0,"","打开格子失败","MINES_OPEN_CELL_FAILED"
4007,0,"","落袋为安失败","MINES_BAG_IN_FAILED"
