# 错误码配置表
# code  — 服务端错误码（整数字符串）
# type  — 展示方式：toast | popup | popup_close | recharge | silent
# extra — 补充描述（仅供参考，实际显示文案由 i18n JSON 中以 code 为 key 的翻译决定）
code,type,extra
# ── 通用 ─────────────────────────────────────────────────────────────────────
8012,silent,卡片不属于本人active card
8013,silent,号码尚未唱出
8014,silent,该位置已经mark
8015,silent,mark卡片失败
8016,silent,当前没有可声明的Bingo
8017,silent,当前玩家或目标卡已经声明成功
8018,silent,本局排名已满
8019,silent,声明Bingo失败
8020,silent,页码不合法
8021,silent,时间范围不合法
8022,silent,获取玩家历史记录失败
8023,silent,当前玩家不是观众
8024,silent,观察目标不存在或不在当前房间
8025,silent,观察目标当前不可被围观
8026,silent,设置围观目标失败
